,tau_v,tau_w,a,b,v_scale,R_off,R_on,alpha
step_only,14.710357234230836,205.51032421920755,0.06221578528172583,0.08011527113611372,2.6738130216880904,79.97482351382169,14.5794858557265,0.0033195431232882623
pp_only,19.407072266725304,216.42032546170773,0.04703100076091661,0.06961727492181155,2.7096583131554803,82.19539824568166,15.094418117850191,0.00407203634230575
tri_only,19.05662325663923,203.82914700394855,0.06264452813943457,0.08118343696431157,2.9662199642244116,81.74491348736568,15.182989083227255,0.003227139223878053
step_pp,13.092975339186523,205.47415909560127,0.04704422358316806,0.06924199350895402,2.6929750415564744,80.41208270972078,14.403671867775241,0.0034436040528874785
step_tri,14.443433997547132,182.54191638827402,0.05921678102961166,0.0793305006700141,2.805624529928219,79.44921763618672,14.604279087370038,0.003145570354168269
pp_tri,17.528978457019797,197.7603060931903,0.04875623949115152,0.07049401479256812,2.7516748735579832,81.02407666044793,14.217733529992504,0.003347339463529322
all,12.919080935116243,186.82186536271857,0.047391992279234005,0.07046061931627384,2.718827430928083,79.80718316326752,14.110008625530865,0.003401770487994613
