,tau_v,tau_w,a,b,v_scale,R_off,R_on,alpha
step_only,0.8253669630138148,0.6858089625690447,0.46045697829945775,0.013306297342693618,0.02182811339391255,-0.15674537962339175,0.01702891955987429,0.3033562693344677
pp_only,0.696051493416332,0.6515643404822498,0.6916859289526007,0.25494937810701535,-0.004574543359562977,-0.22187337290775266,-0.05363229736827968,-0.04828022724627967
tri_only,0.7069296627135443,0.6909284163101304,0.45299513327826657,-0.013180003769503124,-0.20381518131936316,-0.2085167381260895,-0.06603357365016982,0.34160047729370635
step_pp,0.8616571661899597,0.6859195337333395,0.6915125388401555,0.26296032164215577,0.007757635765905713,-0.16942887791369876,0.04059326867290247,0.25031206089978975
step_tri,0.8316469882605748,0.7521141626326941,0.5112187954604503,0.03254197099766698,-0.0769913337457111,-0.141590753743291,0.013682882245858008,0.37446313435634915
pp_tri,0.752033402800538,0.7090591156004481,0.6686512711076031,0.2360653068480184,-0.03597039574877203,-0.18729700937665972,0.06520352983240163,0.291640669502397
all,0.8653075645381777,0.7403538354884553,0.686934768838899,0.23678894048008636,-0.011384735441735794,-0.15190100607438017,0.07931539444931401,0.2684161298005443
