,tau_v,tau_w,a,b,v_scale,R_off,R_on,alpha
step_only,12.31040121298948,15.891697347902936,20.827145933811664,26.824961070666305,28.284478229585652,32.215902805367364,30.61990557870074,17.02238062746165
pp_only,16.24085956369105,16.735345658369926,15.743938806290773,23.30992160596534,28.663661574837835,33.110407057962455,31.70136876620136,20.881112241410683
tri_only,15.947585386173763,15.761695317131046,20.970670443309448,27.182614566087192,31.377655550985157,32.92894028440091,31.887385929199937,16.548540014822116
step_pp,10.956890912349811,15.88890077210518,15.748365233562255,23.1842662952151,28.487180411602857,32.392041984385415,30.250660204497926,17.658556235429852
step_tri,12.087025799032856,14.11559686633752,19.823209409791776,26.562196719950133,29.678823946726702,32.00417532509488,30.671976441790733,16.13026066251885
pp_tri,14.669171810296014,15.29240413493492,16.32147389071605,23.603480032075993,29.10812664339239,32.63856878829504,29.860151622596753,17.164918279801302
all,10.81136692209501,14.446556656434447,15.86478310647632,23.592298239406176,28.76065553437056,32.148372987827,29.633907265578195,17.444036695191265
