parameter,feature,importance
tau_v,step_rise_time,0.14125522522940542
tau_v,step_saturation_voltage,0.19761828363175588
tau_v,step_oscillation_index,0.14626797209395173
tau_v,pp_recovery_ratio_delay_200,0.0009214002934003487
tau_v,pp_recovery_ratio_delay_800,0.0007696841995935023
tau_v,pp_recovery_ratio_delay_2000,0.00021640562112820342
tau_v,pp_first_peak_delay_200,0.06947984300079166
tau_v,pp_first_peak_delay_800,0.011108063931866391
tau_v,pp_first_peak_delay_2000,0.03399643622742832
tau_v,pp_second_peak_delay_200,0.00035210447793578313
tau_v,pp_second_peak_delay_800,0.0004348799388073447
tau_v,pp_second_peak_delay_2000,0.00016887769501611102
tau_v,pp_avg_recovery_ratio,0.0004802129630668835
tau_v,pp_std_recovery_ratio,0.00048065790951966667
tau_v,pp_recovery_slope,0.0006331154459674107
tau_v,tri_hysteresis_area,0.39581683734036527
tau_w,step_rise_time,0.05852093356752977
tau_w,step_saturation_voltage,0.392296222384494
tau_w,step_oscillation_index,0.28855838396630035
tau_w,pp_recovery_ratio_delay_200,0.0008618616457194764
tau_w,pp_recovery_ratio_delay_800,0.002525039523151041
tau_w,pp_recovery_ratio_delay_2000,0.00037492611176669457
tau_w,pp_first_peak_delay_200,0.020119685129412236
tau_w,pp_first_peak_delay_800,0.004923050859527734
tau_w,pp_first_peak_delay_2000,0.007704004601908364
tau_w,pp_second_peak_delay_200,0.0008119858097215245
tau_w,pp_second_peak_delay_800,0.0033822423084506554
tau_w,pp_second_peak_delay_2000,0.0008414630354491776
tau_w,pp_avg_recovery_ratio,0.001278697159556675
tau_w,pp_std_recovery_ratio,0.001870160565345843
tau_w,pp_recovery_slope,0.0010750004651888347
tau_w,tri_hysteresis_area,0.21485634286647767
a,step_rise_time,0.04461057959662929
a,step_saturation_voltage,0.5173350696300579
a,step_oscillation_index,0.23294900494247395
a,pp_recovery_ratio_delay_200,0.0015837327604908838
a,pp_recovery_ratio_delay_800,0.002528164376445106
a,pp_recovery_ratio_delay_2000,0.0009886944766458838
a,pp_first_peak_delay_200,0.02031767512881619
a,pp_first_peak_delay_800,0.004562370909586379
a,pp_first_peak_delay_2000,0.01452530559322547
a,pp_second_peak_delay_200,0.0013876431190099406
a,pp_second_peak_delay_800,0.002247507213330222
a,pp_second_peak_delay_2000,0.0005428072559388481
a,pp_avg_recovery_ratio,0.0028218083366508195
a,pp_std_recovery_ratio,0.0030156097160881413
a,pp_recovery_slope,0.0021216809924604883
a,tri_hysteresis_area,0.1484623459521505
b,step_rise_time,0.08772648225741256
