parameter,feature,importance
tau_w,step_activation_speed,0.005472608167290901
tau_w,step_latency,0.004062510878148192
tau_w,step_initial_slope,0.0016323921219529394
tau_w,step_settling_deviation,0.007299148889222426
tau_w,step_asymmetry_index,0.0018832386456569808
tau_w,pp_delay_200_peak1_amplitude,0.0030959136571240683
tau_w,pp_delay_200_peak2_amplitude,0.0037540270653092876
tau_w,pp_delay_200_time_to_peak1,0.00033019134520894625
tau_w,pp_delay_200_time_to_peak2,0.013061612867079133
tau_w,pp_delay_200_auc1,0.0022496775341198888
tau_w,pp_delay_200_auc2,0.0006151091145640507
tau_w,pp_delay_200_peak_width1,0.0006941073498095279
tau_w,pp_delay_200_peak_width2,0.006544203901376792
tau_w,pp_delay_200_peak_ratio,0.0019453289371876852
tau_w,pp_delay_200_auc_ratio,0.001864366623993395
tau_w,pp_delay_200_latency_change,0.0014397757213282705
tau_w,pp_delay_200_width_ratio,0.006361676673729774
tau_w,pp_delay_200_baseline_shift,0.00124453051325054
tau_w,pp_delay_200_recovery_fraction,0.002010769824218796
tau_w,pp_delay_200_effective_ipi,0.001185667892127822
tau_w,pp_delay_200_waveform_correlation,0.0028444663421285854
tau_w,pp_delay_200_total_response,0.0005109717600570013
tau_w,pp_delay_200_facilitation_index,0.002322338930407944
tau_w,pp_delay_800_peak1_amplitude,0.0004224799730320661
tau_w,pp_delay_800_peak2_amplitude,0.03537864748566323
tau_w,pp_delay_800_time_to_peak1,0.0014705777882388603
tau_w,pp_delay_800_time_to_peak2,0.001302910434000369
tau_w,pp_delay_800_auc1,0.001358887157760745
tau_w,pp_delay_800_auc2,0.01133345968376225
tau_w,pp_delay_800_peak_width1,0.0031931917418000573
tau_w,pp_delay_800_peak_width2,0.013203000993812256
tau_w,pp_delay_800_peak_ratio,0.0018310511125757686
tau_w,pp_delay_800_auc_ratio,0.00548250682630378
tau_w,pp_delay_800_latency_change,0.005992530551399825
tau_w,pp_delay_800_width_ratio,0.003725926597005504
tau_w,pp_delay_800_baseline_shift,0.00671066191454535
tau_w,pp_delay_800_recovery_fraction,0.004090417915894094
tau_w,pp_delay_800_effective_ipi,0.005489611756715017
tau_w,pp_delay_800_waveform_correlation,0.006864028999398979
tau_w,pp_delay_800_total_response,0.000891445951167571
tau_w,pp_delay_800_facilitation_index,0.003789127950849721
tau_w,pp_delay_2000_peak1_amplitude,0.0007974332545306156
tau_w,pp_delay_2000_peak2_amplitude,0.001873674234676254
tau_w,pp_delay_2000_time_to_peak1,0.0010308380200698948
tau_w,pp_delay_2000_time_to_peak2,0.0012300941506957351
tau_w,pp_delay_2000_auc1,0.00169167128009815
tau_w,pp_delay_2000_auc2,0.0013712972351385172
tau_w,pp_delay_2000_peak_width1,0.007871309805053446
tau_w,pp_delay_2000_peak_width2,0.002887619510645074
tau_w,pp_delay_2000_peak_ratio,0.0012892439172779015
tau_w,pp_delay_2000_auc_ratio,0.0035161632984687984
tau_w,pp_delay_2000_latency_change,0.0008614545402786748
tau_w,pp_delay_2000_width_ratio,0.0020106671600685464
tau_w,pp_delay_2000_baseline_shift,0.002010284613635002
tau_w,pp_delay_2000_recovery_fraction,0.0019576419444102032
tau_w,pp_delay_2000_effective_ipi,0.001073643251327479
tau_w,pp_delay_2000_waveform_correlation,0.011059544823821545
tau_w,pp_delay_2000_total_response,0.0008995575457372706
tau_w,pp_delay_2000_facilitation_index,0.0006485198253065617
tau_w,pp_avg_peak_ratio,0.0019492944766946693
tau_w,pp_std_peak_ratio,0.0024718748480334596
tau_w,pp_avg_facilitation_index,0.001831793658267268
tau_w,pp_recovery_slope,0.0019443432165558694
tau_w,tri_total_hysteresis_area,0.00899509733467125
tau_w,tri_pos_hysteresis,0.0017301844738688405
tau_w,tri_neg_hysteresis,0.4133747240139996
tau_w,tri_max_hysteresis_width,0.002575070439662101
tau_w,tri_response_at_pos_max,0.002171763137841887
tau_w,tri_response_at_neg_max,0.006294152804042596
tau_w,tri_pos_neg_ratio,0.0010919500018813535
tau_w,tri_rectification_index,0.002615389093150398
tau_w,tri_linearity_deviation,0.0008196507168612864
tau_w,tri_slope_variation,0.003170163257920773
tau_w,tri_num_inflection_points,0.0007815019805300421
tau_w,tri_response_amplitude,0.00024811683857458883
tau_w,tri_voltage_gain,0.0003169105448586102
tau_w,tri_phase1_gain,0.002502517480841272
tau_w,tri_phase2_gain,0.0029354983821103468
tau_w,tri_phase3_gain,0.12192633974102685
tau_w,tri_return_point_deviation,0.020449591518641144
tau_w,tri_loop_closure_error,0.0
tau_w,tri_loop_eccentricity,0.0004286706683915593
tau_w,tri_centroid_v_applied,0.0
tau_w,tri_centroid_v_response,0.007618733437971763
tau_w,tri_smoothness_index,0.0016750285242341726
tau_w,tri_oscillation_count,0.0006060687682951577
a,step_baseline,0.006536245319424523
a,step_peak_amplitude,0.0008369924855098428
a,step_time_to_peak,0.001899036311652763
a,step_peak_to_baseline_ratio,0.0007861491731579689
a,step_half_decay_time,0.005817152946093989
a,step_decay_rate,0.00405275903133429
a,step_area_under_curve,0.0032294649447506007
a,step_response_duration,0.004328687209247031
a,step_activation_speed,0.0025530093766762798
a,step_latency,0.0015633501560837096
a,step_initial_slope,0.0017294226230017845
a,step_settling_deviation,0.018782529471347648
a,step_asymmetry_index,0.001761080715570748
a,pp_delay_200_peak1_amplitude,0.0009502636698585171
