parameter,feature,importance
tau_v,step_baseline,0.7115285620631616
tau_v,step_peak_amplitude,0.00030872445742938573
tau_v,step_time_to_peak,0.0024700715516926394
tau_v,step_peak_to_baseline_ratio,0.0003801433433523023
tau_v,step_half_decay_time,0.001942778303804895
tau_v,step_decay_rate,0.002540519451909055
tau_v,step_area_under_curve,0.0011104464128574307
tau_v,step_response_duration,0.003595062602232268
tau_v,step_activation_speed,0.0029519727255511927
tau_v,step_latency,0.0010447095410238154
tau_v,step_initial_slope,0.0034493021269252507
tau_v,step_settling_deviation,0.0009324889186363941
tau_v,step_asymmetry_index,0.0019502976205589071
tau_v,pp_delay_200_peak1_amplitude,0.025810445088307744
tau_v,pp_delay_200_peak2_amplitude,0.006240946275914425
tau_v,pp_delay_200_time_to_peak1,0.000688822080494945
tau_v,pp_delay_200_time_to_peak2,0.0005884946107461043
tau_v,pp_delay_200_auc1,0.01898581568422973
tau_v,pp_delay_200_auc2,0.0004180147731176045
tau_v,pp_delay_200_peak_width1,0.002404653538023626
tau_v,pp_delay_200_peak_width2,0.0008297258603222127
tau_v,pp_delay_200_peak_ratio,0.0007364067377557059
tau_v,pp_delay_200_auc_ratio,0.0007342098836076815
tau_v,pp_delay_200_latency_change,0.0005145984137947223
tau_v,pp_delay_200_width_ratio,0.0009322107588883763
tau_v,pp_delay_200_baseline_shift,0.025381639037105143
tau_v,pp_delay_200_recovery_fraction,0.002331483212637913
tau_v,pp_delay_200_effective_ipi,0.0005830496672064461
tau_v,pp_delay_200_waveform_correlation,0.0024030670247973058
tau_v,pp_delay_200_total_response,0.0007512105052680282
tau_v,pp_delay_200_facilitation_index,0.0006523191994167848
tau_v,pp_delay_800_peak1_amplitude,0.015870237006039737
tau_v,pp_delay_800_peak2_amplitude,0.0006764092786264433
tau_v,pp_delay_800_time_to_peak1,0.00038559478971617
tau_v,pp_delay_800_time_to_peak2,0.0002675607169632645
tau_v,pp_delay_800_auc1,0.0036831301505962956
tau_v,pp_delay_800_auc2,0.002339576228759023
tau_v,pp_delay_800_peak_width1,0.0006606710691106099
tau_v,pp_delay_800_peak_width2,0.0015717534154194037
tau_v,pp_delay_800_peak_ratio,0.0004546733282821928
tau_v,pp_delay_800_auc_ratio,0.001129018593042526
tau_v,pp_delay_800_latency_change,0.0004600068603919738
tau_v,pp_delay_800_width_ratio,0.0018773807229811497
tau_v,pp_delay_800_baseline_shift,0.010451924208681487
tau_v,pp_delay_800_recovery_fraction,0.002298142781036128
tau_v,pp_delay_800_effective_ipi,0.0003975688673337312
tau_v,pp_delay_800_waveform_correlation,0.0037638434028879827
tau_v,pp_delay_800_total_response,0.0018374884086196318
tau_v,pp_delay_800_facilitation_index,0.0005742340618438236
tau_v,pp_delay_2000_peak1_amplitude,0.017809802420746285
tau_v,pp_delay_2000_peak2_amplitude,0.002759292809532187
tau_v,pp_delay_2000_time_to_peak1,0.0003536577855137806
tau_v,pp_delay_2000_time_to_peak2,0.0006346896958592174
tau_v,pp_delay_2000_auc1,0.0009764650511869435
tau_v,pp_delay_2000_auc2,0.002479994149661043
tau_v,pp_delay_2000_peak_width1,0.0036304401206857296
tau_v,pp_delay_2000_peak_width2,0.0011609014911520264
tau_v,pp_delay_2000_peak_ratio,0.0005006245824135905
tau_v,pp_delay_2000_auc_ratio,0.0009083817944478845
tau_v,pp_delay_2000_latency_change,0.0004834198679734211
tau_v,pp_delay_2000_width_ratio,0.0017435356024378217
tau_v,pp_delay_2000_baseline_shift,0.01607306863737277
tau_v,pp_delay_2000_recovery_fraction,0.0018109009120324516
tau_v,pp_delay_2000_effective_ipi,0.00042618237773589887
tau_v,pp_delay_2000_waveform_correlation,0.0022644058286410327
tau_v,pp_delay_2000_total_response,0.003928442942226522
tau_v,pp_delay_2000_facilitation_index,0.0007169756183037695
tau_v,pp_avg_peak_ratio,0.0010252076754138958
tau_v,pp_std_peak_ratio,0.0011546142932052058
tau_v,pp_avg_facilitation_index,0.001025211000222655
tau_v,pp_recovery_slope,0.0009214995587035154
tau_v,tri_total_hysteresis_area,0.004569626820954446
tau_v,tri_pos_hysteresis,0.0036361043148815954
tau_v,tri_neg_hysteresis,0.0006933117933978681
tau_v,tri_max_hysteresis_width,0.0018399081355432445
tau_v,tri_response_at_pos_max,0.001321305159768382
tau_v,tri_response_at_neg_max,0.0015099801404905772
tau_v,tri_pos_neg_ratio,0.0010441582045824518
tau_v,tri_rectification_index,0.0008191023631471899
tau_v,tri_linearity_deviation,0.0005413280455795513
tau_v,tri_slope_variation,0.0007048105627282227
tau_v,tri_num_inflection_points,0.0004946805553747201
tau_v,tri_response_amplitude,0.0004233760953332701
tau_v,tri_voltage_gain,0.00025094008932066285
tau_v,tri_phase1_gain,0.006615125049768569
tau_v,tri_phase2_gain,0.0009993836293285265
tau_v,tri_phase3_gain,0.0009469374832716183
tau_v,tri_return_point_deviation,0.0013826068671473847
tau_v,tri_loop_closure_error,0.0
tau_v,tri_loop_eccentricity,0.00023064494645549924
tau_v,tri_centroid_v_applied,0.0
tau_v,tri_centroid_v_response,0.0005762235261232944
tau_v,tri_smoothness_index,0.03252009369341647
tau_v,tri_oscillation_count,0.002201232946817605
tau_w,step_baseline,0.024456039593107392
tau_w,step_peak_amplitude,0.0014734073621712233
tau_w,step_time_to_peak,0.0016085995650443686
tau_w,step_peak_to_baseline_ratio,0.001041004041640177
tau_w,step_half_decay_time,0.02079976931890411
tau_w,step_decay_rate,0.11250761208112013
tau_w,step_area_under_curve,0.03331646103187378
tau_w,step_response_duration,0.05872366159597647
tau_w,step_activation_speed,0.0031105227178397678
tau_w,step_latency,0.0027918215697416127
tau_w,step_initial_slope,0.0030361321573602242
tau_w,step_settling_deviation,0.0055126844344780025
tau_w,step_asymmetry_index,0.0010486450141246838
tau_w,pp_delay_200_peak1_amplitude,0.0009758690294543367
tau_w,pp_delay_200_peak2_amplitude,0.005785607837123824
tau_w,pp_delay_200_time_to_peak1,0.0015734598619255185
tau_w,pp_delay_200_time_to_peak2,0.004849609303849036
tau_w,pp_delay_200_auc1,0.001836758532377221
tau_w,pp_delay_200_auc2,0.0014392948920285817
tau_w,pp_delay_200_peak_width1,0.0008229412334534545
tau_w,pp_delay_200_peak_width2,0.002831890661917306
tau_w,pp_delay_200_peak_ratio,0.0016021336586576516
tau_w,pp_delay_200_auc_ratio,0.002142062561700663
tau_w,pp_delay_200_latency_change,0.0019202999296495814
tau_w,pp_delay_200_width_ratio,0.0019102127526241432
tau_w,pp_delay_200_baseline_shift,0.0003198072408059476
tau_w,pp_delay_200_recovery_fraction,0.001613357499329916
tau_w,pp_delay_200_effective_ipi,0.001882279729880012
tau_w,pp_delay_200_waveform_correlation,0.009228090843400335
tau_w,pp_delay_200_total_response,0.002150396099040646
tau_w,pp_delay_200_facilitation_index,0.0024808296897574555
tau_w,pp_delay_800_peak1_amplitude,0.0013170516714778075
tau_w,pp_delay_800_peak2_amplitude,0.023468062401095866
tau_w,pp_delay_800_time_to_peak1,0.0009539990846510771
tau_w,pp_delay_800_time_to_peak2,0.0016571621097361984
tau_w,pp_delay_800_auc1,0.0012507720341300489
tau_w,pp_delay_800_auc2,0.0015227788669928744
tau_w,pp_delay_800_peak_width1,0.0015060922913456164
tau_w,pp_delay_800_peak_width2,0.0034248955433669012
tau_w,pp_delay_800_peak_ratio,0.003036363443226612
tau_w,pp_delay_800_auc_ratio,0.008818842080156732
tau_w,pp_delay_800_latency_change,0.0073127477012653545
tau_w,pp_delay_800_width_ratio,0.0020659839567827606
tau_w,pp_delay_800_baseline_shift,0.0036557172055639224
tau_w,pp_delay_800_recovery_fraction,0.0017590340684449867
tau_w,pp_delay_800_effective_ipi,0.01049310231267432
tau_w,pp_delay_800_waveform_correlation,0.0034543033630949098
tau_w,pp_delay_800_total_response,0.0009384074276220671
tau_w,pp_delay_800_facilitation_index,0.002684104587580032
tau_w,pp_delay_2000_peak1_amplitude,0.00217219171793294
tau_w,pp_delay_2000_peak2_amplitude,0.0014617629850141726
tau_w,pp_delay_2000_time_to_peak1,0.0021291378890389762
tau_w,pp_delay_2000_time_to_peak2,0.0014353121293752542
tau_w,pp_delay_2000_auc1,0.001703291535399505
tau_w,pp_delay_2000_auc2,0.0010351922904056265
tau_w,pp_delay_2000_peak_width1,0.013495769413125944
tau_w,pp_delay_2000_peak_width2,0.003952658735039287
tau_w,pp_delay_2000_peak_ratio,0.0015304627206061726
tau_w,pp_delay_2000_auc_ratio,0.0019776008099261703
tau_w,pp_delay_2000_latency_change,0.0020822672450152052
tau_w,pp_delay_2000_width_ratio,0.0032723358747470703
tau_w,pp_delay_2000_baseline_shift,0.005199065939078127
tau_w,pp_delay_2000_recovery_fraction,0.0043547060719939
tau_w,pp_delay_2000_effective_ipi,0.0013767567056663615
tau_w,pp_delay_2000_waveform_correlation,0.0023101127483926365
tau_w,pp_delay_2000_total_response,0.00139333422684931
tau_w,pp_delay_2000_facilitation_index,0.0011900086736217317
tau_w,pp_avg_peak_ratio,0.0019614004912351674
tau_w,pp_std_peak_ratio,0.0017583496287865833
tau_w,pp_avg_facilitation_index,0.001465071513322448
tau_w,pp_recovery_slope,0.0035519500694212473
tau_w,tri_total_hysteresis_area,0.00645571882497982
tau_w,tri_pos_hysteresis,0.003405549210022367
tau_w,tri_neg_hysteresis,0.1823784029968566
tau_w,tri_max_hysteresis_width,0.0026502849132101027
tau_w,tri_response_at_pos_max,0.0011181137821869767
tau_w,tri_response_at_neg_max,0.012199345249266965
tau_w,tri_pos_neg_ratio,0.0037886550136027384
tau_w,tri_rectification_index,0.0026924119424028953
tau_w,tri_linearity_deviation,0.002138174785930601
tau_w,tri_slope_variation,0.0017386832350800997
tau_w,tri_num_inflection_points,0.0013904057884449844
tau_w,tri_response_amplitude,0.0010093089132704146
tau_w,tri_voltage_gain,0.000777937485805825
tau_w,tri_phase1_gain,0.002471608060850648
tau_w,tri_phase2_gain,0.0019464741830676872
tau_w,tri_phase3_gain,0.1640907632014725
tau_w,tri_return_point_deviation,0.07779632010675724
tau_w,tri_loop_closure_error,0.0
tau_w,tri_loop_eccentricity,0.00044749889259681607
tau_w,tri_centroid_v_applied,0.0
tau_w,tri_centroid_v_response,0.07176376259645108
tau_w,tri_smoothness_index,0.004540825456890005
tau_w,tri_oscillation_count,0.00028033395729403773
a,step_baseline,0.010649363372709355
a,step_peak_amplitude,0.0006059377463682206
a,step_time_to_peak,0.0023376958250600627
a,step_peak_to_baseline_ratio,0.0008767943297362343
a,step_half_decay_time,0.006360748166633295
a,step_decay_rate,0.00402016438503498
a,step_area_under_curve,0.0033373839973193623
a,step_response_duration,0.0040775459923694584
a,step_activation_speed,0.003626695467726633
a,step_latency,0.0021042273838024713
a,step_initial_slope,0.0016283996180619985
a,step_settling_deviation,0.015305353898217756
a,step_asymmetry_index,0.0032707300232696127
a,pp_delay_200_peak1_amplitude,0.0010698042439403078
a,pp_delay_200_peak2_amplitude,0.00628117208533272
a,pp_delay_200_time_to_peak1,0.0012676173218150442
