model,parameter,r2,rmse,mae,mape
random_forest,tau_v,0.5590615583147884,22.77188122579397,17.727685757100335,24.8103246278984
random_forest,tau_w,0.642101253182463,223.1283937429282,171.1363133278948,21.089929756437726
random_forest,a,0.5236942785710031,0.061803722222037734,0.04801683041841448,7.663037125403549
random_forest,b,0.22363903501151117,0.06987084696564835,0.05560621274031111,6.575339062471458
random_forest,v_scale,0.07972972202106976,2.620408553056556,2.1925196991400915,87.09316441075401
random_forest,R_off,0.1484288366102796,69.1284678328897,57.43156727541199,47.17260440713964
random_forest,R_on,0.18399717823599793,12.042632397755305,9.77519844470292,80.22723325847761
random_forest,alpha,0.2452857102600361,0.004101623827848712,0.002974004735556141,557.0951441497522
random_forest,num_nodes,0.13545139901958003,30.150710768967624,25.153026644745037,59.169612323459084
random_forest,num_edges,0.09479997814313401,337.6385346893809,275.08612308968173,258.1494469944158
random_forest,network_density,0.01506734874163218,0.017969142129164353,0.012708523480143482,8.18518174249391
mlp,tau_v,-123277894531.07462,12040722.09187279,551910.2810103196,1428284.149461042
mlp,tau_w,-944166151297.7557,362408991.02270216,16611269.528509373,1601837.8165985213
mlp,a,-11349927018661.51,301695.10738166294,13828.247170457442,1931105.2586068406
mlp,b,-20237814085629.324,356735.19893884903,16351.003188622144,2084379.788039039
mlp,v_scale,-445916081137.2333,1824054.7833982133,83607.7689960051,1452877.4741486015
mlp,R_off,-718073447964.3136,63479119.19735809,2909627.13712305,1658145.5285240135
mlp,R_on,-434401818150.77106,8786611.339173872,402744.57391756,7121290.742751628
mlp,alpha,-1998282338304295.5,211053.69789404742,9673.6410959314,86553959.93394211
mlp,num_nodes,-742626703841.4192,27943971.476392683,1280837.8282953158,2561685.0805957876
mlp,num_edges,-257244381490.07294,179991782.52372044,8250211.0877787,4104719.9269619538
mlp,network_density,-79660636728567.64,161601.71412694207,7407.020125874687,4514229.342486106
