num_nodes,trial_idx,random_state,trial_duration_seconds,num_edges,network_density,area_size,coupling_radius,tau_v,tau_w,a,b,v_scale,R_off,R_on,alpha,R_ratio,tau_ratio,b_minus_a,step_rise_time,step_saturation_voltage,step_oscillation_index,pp_recovery_ratio_delay_200,pp_first_peak_delay_200,pp_second_peak_delay_200,pp_recovery_ratio_delay_800,pp_first_peak_delay_800,pp_second_peak_delay_800,pp_recovery_ratio_delay_2000,pp_first_peak_delay_2000,pp_second_peak_delay_2000,tri_hysteresis_area,pp_avg_recovery_ratio,pp_std_recovery_ratio,pp_recovery_slope,characterization_success,error_message
20,0,49845,0.4002509117126465,41,0.21578947368421053,20.0,2.0,128.516849601098,1221.1709797584333,0.5093245950870349,0.826495937803497,6.558890433061673,163.51046483555453,19.82189063603024,0.0024853449372149675,8.248984309213252,9.502030150511876,0.3171713427164621,35.13513513513513,-1.248172100943514,0.7421427610004472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04466822032161902,0.0,0.0,0.0,True,
20,1,742907,0.2292473316192627,26,0.1368421052631579,20.0,2.0,135.33672104012746,727.6997216131476,0.7100838602370712,0.7559908108787226,5.309740585604183,261.5500459748777,47.245360772230114,0.0049994423674921615,5.5359942584799064,5.376956941326989,0.0459069506416514,195.29529529529532,-1.189272296392799,0.12691993896656248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01975995515201913,0.0,0.0,0.0,True,
20,2,517376,0.18504691123962402,27,0.14210526315789473,20.0,2.0,81.7592496734498,1132.005461909604,0.6873907883786466,0.8160347666628804,3.434703077896192,166.55128145177625,23.072690094307355,0.0005045860258124086,7.218546288751517,13.845595041917408,0.1286439782842338,45.145145145145136,-1.2317281860840832,0.5726630851955328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04449326563727958,0.0,0.0,0.0,True,
20,3,750494,0.36123108863830566,25,0.13157894736842105,20.0,2.0,37.257347360471485,1589.1346794771148,0.7340964737171779,0.9598661713862283,9.134692170927467,157.69560022734473,6.969515787469,0.0019444677138277396,22.62647865880111,42.6529206199774,0.22576969766905042,-100.0,-1.3688917467385273,0.642055045924454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049990876155610285,0.0,0.0,0.0,True,
20,4,752299,0.25545501708984375,33,0.1736842105263158,20.0,2.0,148.75051653705873,652.2973376184675,0.6291649955821401,0.9680642719925937,9.146460119218547,283.14002741352607,16.463433311018903,0.0023003569263747646,17.19811548809942,4.385176958064266,0.3388992764104536,75.17517517517518,-1.230568405136814,0.33604354934352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028920304263788475,0.0,0.0,0.0,True,
20,5,368010,0.3850831985473633,26,0.1368421052631579,20.0,2.0,34.32487968515887,521.8123141205556,0.5506545101564235,0.8643388215683901,6.221313081141386,69.34193814944493,46.22795876629662,0.0009742844758215418,1.5,15.202160033970136,0.3136843114119666,20.12012012012012,-1.1135837662250774,1.0211371626273913,0.0,1.6202719967515828,0.0,0.0,1.4720375431533659,0.0,1.0443644014594853,1.4719625201161661,1.53726525733628,0.07295897464226526,0.3481214671531618,0.49231810020122124,0.0005802024452552697,True,
20,6,652822,0.4635348320007324,32,0.16842105263157894,20.0,2.0,48.40897885966629,338.5056505034299,0.5356814132609583,0.9244738201447187,6.4847691004418495,135.62773058177956,18.6109988414996,0.013142659512137143,7.287504111780989,6.992621172298022,0.3887924068837604,20.12012012012012,-1.1334041123306144,0.5361990126321297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05612308802535544,0.0,0.0,0.0,True,
20,7,377285,0.3382840156555176,29,0.15263157894736842,20.0,2.0,89.94444419422074,375.97847483297255,0.5310798981147911,0.9571675151280334,7.670341281854076,105.36475261049002,22.389988162802997,0.011218267216597183,4.705886927869614,4.1801189412111635,0.4260876170132424,50.150150150150154,-1.1415860325862934,0.7311434471706071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054153041970616045,0.0,0.0,0.0,True,
20,8,108705,0.17437434196472168,28,0.14736842105263157,20.0,2.0,79.78164312168262,488.8258850518747,0.7937488226699165,0.8977540289123342,5.233672419067673,281.18199144358397,34.053990021925465,0.0012069949006822485,8.25694702037989,6.127047099121781,0.10400520624241771,60.16016016016016,-1.3021129836537255,0.055588058801182366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024093145727942748,0.0,0.0,0.0,True,
20,9,223807,0.2884542942047119,31,0.1631578947368421,20.0,2.0,59.672913152656804,314.1002109416616,0.7923877431522727,0.8630563932457871,3.5519407011809956,252.93065971612765,25.206836358971714,0.00014462642389483367,10.034208819945928,5.263698290346949,0.07066865009351442,40.14014014014015,-1.2889071254828377,0.15538205342114764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02752917420305743,0.0,0.0,0.0,True,
