num_nodes,trial_idx,random_state,trial_duration_seconds,num_edges,network_density,area_size,coupling_radius,tau_v,tau_w,a,b,v_scale,R_off,R_on,alpha,R_ratio,tau_ratio,b_minus_a,step_baseline,step_peak_amplitude,step_time_to_peak,step_peak_to_baseline_ratio,step_half_decay_time,step_decay_rate,step_area_under_curve,step_response_duration,step_activation_speed,step_latency,step_initial_slope,step_settling_deviation,step_asymmetry_index,pp_delay_200_peak1_amplitude,pp_delay_200_peak2_amplitude,pp_delay_200_time_to_peak1,pp_delay_200_time_to_peak2,pp_delay_200_auc1,pp_delay_200_auc2,pp_delay_200_peak_width1,pp_delay_200_peak_width2,pp_delay_200_peak_ratio,pp_delay_200_auc_ratio,pp_delay_200_latency_change,pp_delay_200_width_ratio,pp_delay_200_baseline_shift,pp_delay_200_recovery_fraction,pp_delay_200_effective_ipi,pp_delay_200_waveform_correlation,pp_delay_200_total_response,pp_delay_200_facilitation_index,pp_delay_800_peak1_amplitude,pp_delay_800_peak2_amplitude,pp_delay_800_time_to_peak1,pp_delay_800_time_to_peak2,pp_delay_800_auc1,pp_delay_800_auc2,pp_delay_800_peak_width1,pp_delay_800_peak_width2,pp_delay_800_peak_ratio,pp_delay_800_auc_ratio,pp_delay_800_latency_change,pp_delay_800_width_ratio,pp_delay_800_baseline_shift,pp_delay_800_recovery_fraction,pp_delay_800_effective_ipi,pp_delay_800_waveform_correlation,pp_delay_800_total_response,pp_delay_800_facilitation_index,pp_delay_2000_peak1_amplitude,pp_delay_2000_peak2_amplitude,pp_delay_2000_time_to_peak1,pp_delay_2000_time_to_peak2,pp_delay_2000_auc1,pp_delay_2000_auc2,pp_delay_2000_peak_width1,pp_delay_2000_peak_width2,pp_delay_2000_peak_ratio,pp_delay_2000_auc_ratio,pp_delay_2000_latency_change,pp_delay_2000_width_ratio,pp_delay_2000_baseline_shift,pp_delay_2000_recovery_fraction,pp_delay_2000_effective_ipi,pp_delay_2000_waveform_correlation,pp_delay_2000_total_response,pp_delay_2000_facilitation_index,pp_avg_peak_ratio,pp_std_peak_ratio,pp_avg_facilitation_index,pp_recovery_slope,tri_total_hysteresis_area,tri_pos_hysteresis,tri_neg_hysteresis,tri_max_hysteresis_width,tri_response_at_pos_max,tri_response_at_neg_max,tri_pos_neg_ratio,tri_rectification_index,tri_linearity_deviation,tri_slope_variation,tri_num_inflection_points,tri_response_amplitude,tri_voltage_gain,tri_phase1_gain,tri_phase2_gain,tri_phase3_gain,tri_return_point_deviation,tri_loop_closure_error,tri_loop_eccentricity,tri_centroid_v_applied,tri_centroid_v_response,tri_smoothness_index,tri_oscillation_count,characterization_success,error_message
20,0,213927,0.12303805351257324,30,0.15789473684210525,20.0,2.0,87.28319013116355,793.6939730220721,0.7353325517042077,0.7944499007256058,0.9045298131524091,280.3222432066349,25.45686414413482,0.0038580262239361358,11.011656487596891,9.0933199374285,0.05911734902139809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,module 'numpy' has no attribute 'trapz'
20,1,279161,0.35556602478027344,32,0.16842105263157894,20.0,2.0,43.11964445622484,1579.7146611265387,0.641374938334325,0.8663316856749899,8.596827153426172,94.45679555074229,4.537913879707546,0.009442026874174475,20.815026035009225,36.6356142553603,0.22495674734066484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,module 'numpy' has no attribute 'trapz'
20,2,856880,0.07199478149414062,25,0.13157894736842105,20.0,2.0,139.29387425141275,306.22272741732377,0.692093960505904,0.7766909163054897,5.136598216434312,268.23432013872946,29.076258856965445,0.0006073453495242771,9.22520058231191,2.1983933540725533,0.0845969557995857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,module 'numpy' has no attribute 'trapz'
20,3,591648,0.10640788078308105,28,0.14736842105263157,20.0,2.0,84.32771739720722,1406.9684381640832,0.5995708369965728,0.9152032729398564,9.310310013638157,221.25916341397726,19.395963651763424,0.004092176358915614,11.4074849482336,16.684531273826217,0.3156324359432836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,module 'numpy' has no attribute 'trapz'
20,4,404858,0.11194610595703125,31,0.1631578947368421,20.0,2.0,38.33249978149776,1260.230285000169,0.6945549478696094,0.726738329624885,8.029996436011418,254.99864009283914,21.12016124031384,0.0009909702785393846,12.073707070289863,32.876287541478156,0.032183381755275686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,module 'numpy' has no attribute 'trapz'
20,5,436218,0.07506489753723145,27,0.14210526315789473,20.0,2.0,65.38538167842879,1590.5761944385122,0.7100016157778235,0.8194370244664755,5.835999426295379,191.13665270816452,44.660221144912455,0.013205599664688688,4.279796378257258,24.326174346753984,0.10943540868865198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,module 'numpy' has no attribute 'trapz'
20,6,860908,0.10376429557800293,32,0.16842105263157894,20.0,2.0,114.92583999170537,734.5318515762251,0.7278541007501839,0.7400925431767846,6.191192092155591,173.416374155702,39.66420327566081,0.005472400781960195,4.372112883510651,6.391355082801562,0.01223844242660077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,module 'numpy' has no attribute 'trapz'
20,7,840973,0.1571791172027588,34,0.17894736842105263,20.0,2.0,142.1621152471076,652.979800661397,0.5485335892156185,0.7557247155836119,4.156125576332002,165.89954425185286,49.62165223417817,0.0015027215218607413,3.3432894065866137,4.593205436809807,0.20719112636799342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,module 'numpy' has no attribute 'trapz'
20,8,489556,0.07828712463378906,31,0.1631578947368421,20.0,2.0,63.44144431727933,1466.5914197935865,0.5925936860626374,0.7921477108966646,4.137897667338539,249.74521379491856,6.507710710811752,0.0004258452875662425,38.37681557970885,23.117245131730648,0.19955402483402718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,module 'numpy' has no attribute 'trapz'
20,9,490719,0.18431806564331055,41,0.21578947368421053,20.0,2.0,111.41838150767327,765.9211100858904,0.6911099546882533,0.764791843269257,6.409090281703397,123.06100237576052,13.439386329130464,0.008402269990866,9.15674267872041,6.87427962712905,0.07368188858100366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,module 'numpy' has no attribute 'trapz'
