num_nodes,trial_idx,random_state,trial_duration_seconds,num_edges,network_density,area_size,coupling_radius,tau_v,tau_w,a,b,v_scale,R_off,R_on,alpha,R_ratio,tau_ratio,b_minus_a,step_rise_time,step_saturation_voltage,step_oscillation_index,pp_recovery_ratio_delay_200,pp_first_peak_delay_200,pp_second_peak_delay_200,pp_recovery_ratio_delay_800,pp_first_peak_delay_800,pp_second_peak_delay_800,pp_recovery_ratio_delay_2000,pp_first_peak_delay_2000,pp_second_peak_delay_2000,tri_hysteresis_area,pp_avg_recovery_ratio,pp_std_recovery_ratio,pp_recovery_slope,characterization_success,error_message
20,0,166401,0.2501411437988281,37,0.19473684210526315,20.0,2.0,124.31602965994172,1343.4319992258133,0.6955238339904121,0.7047444859446479,6.361612280897015,157.92179747023414,33.15336102640461,0.002704693153868032,4.763372176487903,10.806587074094006,0.009220651954235826,,,,,,,,,,,,,,,,,False,module 'numpy' has no attribute 'trapz'
20,1,336047,0.23682522773742676,27,0.14210526315789473,20.0,2.0,148.13924477353456,550.9230325454453,0.5983498835487756,0.9389154239149298,5.075928221394794,245.44145232569798,2.9733093530498174,0.0008497281014796068,82.54823941341351,3.718953970554257,0.34056554036615416,,,,,,,,,,,,,,,,,False,module 'numpy' has no attribute 'trapz'
20,2,509833,0.3364989757537842,42,0.22105263157894736,20.0,2.0,113.7621869243365,432.9315937307877,0.6259526373153008,0.7056043029720587,3.9988922058079397,74.40398485381922,16.52689605748718,0.00018685754153756408,4.501993876830368,3.8055843108811853,0.07965166565675785,,,,,,,,,,,,,,,,,False,module 'numpy' has no attribute 'trapz'
20,3,86670,0.24641013145446777,25,0.13157894736842105,20.0,2.0,67.59896980405115,1281.7386362380528,0.6747615009408168,0.9426388720757857,1.0843359584969725,136.62182538606484,19.986313390625916,0.0017880630648552268,6.835769194440027,18.96091967012845,0.2678773711349689,,,,,,,,,,,,,,,,,False,module 'numpy' has no attribute 'trapz'
20,4,396515,0.3684999942779541,29,0.15263157894736842,20.0,2.0,42.34707254995028,1392.6225345672358,0.7847681119296576,0.9305017489744909,8.625926984380614,184.90221694291785,19.679698380355816,0.0025303274299712146,9.395581851370567,32.885922230505415,0.14573363704483333,,,,,,,,,,,,,,,,,False,module 'numpy' has no attribute 'trapz'
20,5,468423,0.5233659744262695,26,0.1368421052631579,20.0,2.0,31.92323393753755,534.0257129992805,0.5303877649401202,0.7021505736634763,2.5271482703240085,90.26221321058127,38.5887992150286,0.00048119635680863465,2.339078049762901,16.728434031595278,0.17176280872335614,,,,,,,,,,,,,,,,,False,module 'numpy' has no attribute 'trapz'
20,6,677784,0.22020983695983887,30,0.15789473684210525,20.0,2.0,112.63598062915172,1501.6297983028194,0.6751684663556814,0.7901738685245192,5.311515913934075,250.2548735661133,10.03939296074373,0.0009576076813958489,24.927291375550872,13.331706173419484,0.11500540216883781,,,,,,,,,,,,,,,,,False,module 'numpy' has no attribute 'trapz'
20,7,672611,0.21811676025390625,28,0.14736842105263157,20.0,2.0,135.47291513046744,1046.8754834219949,0.5391231256101384,0.9283682050909522,6.309767468709294,248.16117494091486,17.302814937186618,0.003952726530967284,14.342242914912958,7.727562977542777,0.38924507948081377,,,,,,,,,,,,,,,,,False,module 'numpy' has no attribute 'trapz'
20,8,149079,0.30522894859313965,38,0.2,20.0,2.0,143.27027756798418,1079.3049095235847,0.6837084826428911,0.8396075034844076,6.813451300674051,74.50541933296694,26.859799510060743,0.0005900812073750422,2.773863569050834,7.533348352811253,0.15589902084151652,,,,,,,,,,,,,,,,,False,module 'numpy' has no attribute 'trapz'
20,9,306308,0.20564889907836914,25,0.13157894736842105,20.0,2.0,120.63016963520657,851.1532956925555,0.6313035974972615,0.8036650396146647,5.621252942019246,79.31209939457507,15.636776680164632,0.0046274528956865854,5.07215144251456,7.055890730042892,0.17236144211740323,,,,,,,,,,,,,,,,,False,module 'numpy' has no attribute 'trapz'
