metric,label,n,ml_only_mean,ml_refine_mean,mean_delta,mean_reduction_pct,wilcoxon_stat,wilcoxon_pvalue
waveform_mismatch,Waveform mismatch,15,1.070454192253726,0.042484218676965044,1.027969973576761,96.03119694570778,120.0,3.0517578125e-05
mean_rel_err_all,Mean relative error (all),15,31.647095546241133,23.810574251383617,7.836521294857518,24.762213276119407,118.0,9.1552734375e-05
mean_rel_err_core,Mean relative error (core),15,16.606286429544348,8.82408689832982,7.782199531214528,46.862973032725534,119.0,6.103515625e-05
