parameter,overall_r2,overall_rmse,viable_n,viable_r2,viable_rmse
tau_v,0.9119063708232741,10.566045058861533,37,0.7457833034581376,8.856674520333623
tau_w,0.8155904075340226,145.75655933461442,58,0.7302642856569047,127.93547020950453
a,0.7170173921386829,0.04446459715669846,47,0.06541797984084652,0.04651705548479216
b,0.3420250773992505,0.06776317574007154,63,0.2100373891578533,0.05639152892998643
v_scale,-0.007058193136063817,2.500703105481972,71,-0.031289127597964095,2.2184575577231382
R_off,-0.24421492684721136,81.1952471957331,62,-0.19595482979680723,63.808302242482185
R_on,0.016572188267922505,13.537764060402022,39,-1.34026878257838,12.259451172286344
alpha,0.3961267649286696,0.0033101381199266092,30,-0.03771503097319817,0.0036450864846703677
