parameter,initial_mean_rel_err,final_mean_rel_err,mean_delta,wilcoxon_stat,wilcoxon_pvalue
tau_v,9.491488691439194,6.808833472250538,2.6826552191886575,71.0,0.28070068359375
tau_w,10.977464693179353,3.2022540996433224,7.7752105935360305,117.0,0.000152587890625
a,7.036451678269397,3.083044186643866,3.9534074916255317,116.0,0.000213623046875
b,5.6212675164854895,5.699272874079304,-0.07800535759381437,58.0,0.5548095703125
v_scale,78.58199906424721,94.80636474546176,-16.224365681214554,27.0,0.972320556640625
R_off,36.729842292892336,36.68706829381464,0.04277399907768865,64.0,0.4234619140625
R_on,54.833490865067795,14.870726480143427,39.96276438492438,120.0,3.0517578125e-05
alpha,49.9047595683483,25.327029859032073,24.577729709316223,117.0,0.000152587890625
